,edit_count,sentiment,neg_sentiment
2009-06-28,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-06-29,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-06-30,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-01,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-02,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-03,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-04,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-05,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-06,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-07,0.7333333333333333,-0.07415290604035059,0.1361111111111111
2009-07-08,0.7333333333333333,-0.07415290604035059,0.1361111111111111
